id,interests,graduated_courses,on_progress_courses,events_attended,challenge_joined,winning_apps
378305,,,,,,
378308,,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,"Belajar Membuat Aplikasi Android untuk Pemula,Menjadi Game Developer Expert",,,
378311,,,,,,
378314,,,,,,
378317,,,Membangun Progressive Web Apps,,,
378320,,,,,,
378323,,,"Belajar Membangun LINE Chatbot,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
378326,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378329,,,"Architecting on AWS (Membangun Arsitektur Cloud di AWS),Belajar Dasar Google Cloud,Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
378332,,,Belajar Fundamental Aplikasi Android,,,
378335,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378338,,,,,,
378341,,,Belajar Fundamental Aplikasi Android,,,
378344,,,,,,
378347,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378350,,,Belajar Fundamental Aplikasi Android,,,
378353,,,Belajar Membuat Game untuk Pemula,,,
378356,,,Belajar Fundamental Aplikasi Android,,,
378359,,,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Back-End,Belajar Fundamental Front-End Web Development,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Menjadi Front-End Web Developer Expert",,,
378362,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
378365,,,,,,
378368,,,"Belajar Fundamental Aplikasi Android,Memulai Pemrograman Dengan Java",,,
378371,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
378374,,,Belajar Fundamental Aplikasi Android,,,
378377,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378380,,,"Belajar Fundamental Aplikasi Android,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",,,
378385,,,Pengantar Teknologi Blockchain,,,
378390,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378395,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
378398,,,,,,
378401,,Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Baparekraf Developer Day 2020,,
378404,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
378407,,,Belajar Membuat Game dengan Construct 2,,,
378410,,,"Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Game dengan Construct 2,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Pengantar Teknologi Blockchain,Source Code Management untuk Pemula",,,
378413,,,,,,
378416,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378419,,,,,,
378422,,,,,,
378425,"Web,Multi Platform,Machine Learning","Memulai Pemrograman Dengan Python,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Belajar Dasar Git dengan GitHub","Bangkit 2022 ILT Tests - ML,Bangkit General Assessment,Bangkit Machine Learning Assessment,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula",,,
378428,,,,,,
378431,,,,,,
378434,,,"Belajar Dasar Visualisasi Data,Belajar Fundamental Aplikasi Android,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",Mengelola dan Melindungi Data Sensitif dengan Vault,,
378437,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378440,,Memulai Pemrograman Dengan Swift,"Belajar Android Jetpack Pro,Belajar Dasar Pemrograman Web,Belajar Dasar Visualisasi Data,Belajar Fundamental Aplikasi Android,Belajar Jaringan Komputer untuk Pemula,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Kognitif,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Membangun Progressive Web Apps,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Dart,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Menjadi Flutter Developer Expert,Menjadi Google Cloud Engineer,Source Code Management untuk Pemula","Intro to Software Product Management,GITS Expert Talk #4: How High Quality Assurance Contribute to Resillience Cybersecurity,Ayo Maju Bersama Komunitas Google di Indonesia,AWS X Dicoding LIVE: Automation on AWS",,
378443,,,,,,
378446,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378449,,,"Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Java",,,
378452,,,,,,
378455,,,"Belajar Dasar Pemrograman Web,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
378458,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
378461,,,"Belajar Membangun LINE Chatbot,Belajar Membuat Aplikasi Android untuk Pemula,Membangun Progressive Web Apps,Memulai Pemrograman Dengan Java",,,
378464,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",BEKRAF Developer Day 2019 - Bandar Lampung,,
378467,,,"Belajar Dasar Pemrograman Web,Belajar Membangun LINE Chatbot,Memulai Pemrograman Dengan Python",Cara Cepat Membangun UI/UX dengan Memanfaatkan Fitur pada Figma,,
378470,,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Architecting on AWS (Membangun Arsitektur Cloud di AWS),Belajar Membangun LINE Chatbot,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Python,Pengantar Teknologi Blockchain","Baparekraf Developer Day 2020,Careerhacks: How to start?!,Cara Menjadi Android Developer Expert,Lean-Agile Mindset,AWS X Dicoding LIVE : Container dan Kubernetes di AWS,Mengenal Metaverse sebagai Masa Depan Dunia,Android Study Jam: "" Scrollable List""",,
378473,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378476,,,"Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Membangun Progressive Web Apps,Memulai Pemrograman Dengan Java",,,
378479,,,,,,
378482,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378485,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378488,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378491,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Source Code Management untuk Pemula",,,
378494,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Dasar-Dasar Azure Cloud","Belajar Dasar Pemrograman Web,Memulai Pemrograman Dengan Python,Menjadi Azure Cloud Developer,Menjadi Google Cloud Engineer",,,
378497,,,Pengantar Teknologi Blockchain,,,
378500,,,,,,
378503,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378506,,,"Belajar Fundamental Aplikasi Android,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
378509,,,"Memulai Pemrograman Dengan Java,Source Code Management untuk Pemula",,,
378512,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378515,,,,,,
378518,,,,,,
378521,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula","Belajar Android Jetpack Pro,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",Baparekraf Developer Day 2021,,
378524,,,"Belajar Membangun LINE Chatbot,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
378527,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378530,,,"Belajar Membangun LINE Chatbot,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
378533,,,Kotlin Android Developer Expert,,,
378536,,,,,,
378539,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378542,,,,Baparekraf Developer Day 2020,,
378545,,,,,,
378548,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378551,,,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Kotlin Android Developer Expert,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",BEKRAF Developer Day 2019 - Malang,,
